Unnamed: 0,name,process,Al,Cu,Mn,N,Ni,Ti,S,Fe,Zr,P,Si,V,Mo,Co,C,Nb,B,Cr,ultimate_tensile,yield,ductility
16,AISI 4130H Steel," water quenched 855°C (1570°F), 480°C (900°F) temper, 25 mm (1 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,1110,951,14
17,AISI 4130 Steel," water quenched 855°C (1570°F), 595°C (1100°F) temper, 50 mm (2 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,786,635,21
18,AISI 4130 Steel," normalized at 870°C (1600°F), air cooled, 13 mm (0.5 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,731,460,25
19,AISI 4130 Steel," normalized at 870°C (1600°F), air cooled, 100 mm (4 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,615,400,27
20,AISI 4118H Steel," mock carburized, 150°C (300°F) temper, 14 mm (0.55 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.085,0.0,0.035,0.22499999999999998,0.0,0.11499999999999999,0.0,0.2,0.0,0.0,0.5,986,645,17
21,AISI 4140 Steel," normalized at 870°C (1600°F), air cooled, 100 mm (4 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,814,485,22
22,AISI 4140 Steel," oil quenched, 100 mm (4 in.) round (845°C (1550°F) quench, 650°C (1200°F) temper)",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,772,580,23
23,AISI 4130 Steel," normalized at 870°C (1600°F), air cooled, 25 mm (1 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,670,435,25
24,AISI 4130H Steel, normalized at 870°C (1600°F),0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,670,435,25
25,AISI 4130H Steel," normalized at 870°C (1600°F), air cooled, 25 mm (1 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,670,435,25
26,AISI 4140 Steel," oil quenched, 25 mm (1 in.) round (845°C (1550°F) quench, 595°C (1100°F) temper)",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,965,931,19
27,AISI 4140 Steel," oil quenched, 50 mm (2 in.) round (845°C (1550°F) quench, 595°C (1100°F) temper)",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,883,710,21
28,AISI 4118 Steel," annealed at 870°C (1600°F), furnace cooled at 11°C (20°F)/hour, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,517,365,33
29,AISI 4118 Steel," normalized at 910°C (1670°F), air cooled, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,583,386,32
30,AISI 4140 Steel," oil quenched, 100 mm (4 in.) round [845°C (1550°F) quench, 540°C (1000°F) temper]",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,883,685,19
31,AISI 4023 Steel," normalized at 925°C (1700°F), machined to 25 mm (1 in.) rounds, pseudocarburized at 925°C (1700°F), box cooled to RT, reheated to 855°C (1570°F) and oil quenched, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.4,0.0,0.035,0.25,0.0,0.25,0.0,0.225,0.0,0.0,0.0,786,495,22
32,AISI 4027 Steel," water quenched 865°C (1590°F), 540°C (1000°F) temper, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,958,841,18
33,AISI 4027 Steel," water quenched 865°C (1590°F), 540°C (1000°F) temper, 14 mm (0.55 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,993,896,17
34,AISI 4118 Steel," single quenched and tempered, carburized, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,986,650,18
35,AISI 4130H Steel," normalized at 870°C (1600°F), air cooled, 50 mm (2 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,615,425,28
36,AISI 4140 Steel," normalized at 870°C (1600°F), air cooled, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1020,655,17
37,AISI 4027 Steel," normalized, 100 mm (4 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,565,350,28
38,AISI 4140 Steel," oil quenched, 315°C (600°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1585,1345,11
39,AISI 4140 Steel," oil quenched, 205°C (400°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1795,1515,8
40,AISI 4130H Steel," water quenched 855°C (1570°F), 540°C (1000°F) temper, 50 mm (2 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,841,685,21
41,AISI 4140 Steel," normalized at 870°C (1600°F), air cooled, 50 mm (2 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,972,635,16
42,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 370°C (700°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1595,1460,12
44,AISI 4027 Steel," water quenched 865°C (1590°F), 595°C (1100°F) temper, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,786,640,23
45,AISI 4118H Steel," normalized at 910°C (1670°F), air cooled, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.085,0.0,0.035,0.22499999999999998,0.0,0.11499999999999999,0.0,0.2,0.0,0.0,0.5,583,386,32
46,AISI 4118 Steel," normalized at 910°C (1670°F), air cooled, 50 mm (2 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,534,376,34
47,AISI 4027 Steel," water quenched 865°C (1590°F), 480°C (900°F) temper, 14 mm (0.55 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.35,0.0,0.035,0.25,0.0,0.25,0.0,0.275,0.0,0.0,0.0,1075,986,15
48,AISI 4130 Steel," water quenched 855°C (1570°F), 540°C (1000°F) temper, 50 mm (2 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,841,685,21
49,AISI 4130 Steel," annealed at 865°C (1585°F), furnace cooled 11°C (20°F)/hour to 680°C (1255°F), air cooled, 25 mm (1 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,560,460,21
50,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 260°C (500°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1860,1655,11
51,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 425°C (800°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.245,0.0,0.035,0.25,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1450,1345,15
52,AISI 4118 Steel," normalized at 910°C (1670°F), air cooled, 14 mm (0.55 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,586,393,31
53,AISI 4140H Steel," oil quenched 845°C (1550°F), 595°C (1100°F) temper, 100 mm (4 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,807,600,21
54,AISI 4130 Steel, normalized at 870°C (1600°F),0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,670,435,25
55,AISI 4140 Steel," oil quenched, 25 mm (1 in.) round [845°C (1550°F) quench, 540°C (1000°F) temper]",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1075,986,15
56,AISI 4130H Steel," water quenched 855°C (1570°F), 595°C (1100°F) temper, 100 mm (4 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,703,540,24
57,AISI 4130H Steel," water quenched 855°C (1570°F), 595°C (1100°F) temper, 50 mm (2 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,786,635,21
58,AISI 4023 Steel," normalized at 925°C (1700°F), machined to 13.7 mm (0.540 in.) rounds, pseudocarburized at 925°C (1700°F), box cooled to RT, reheated to 800°C (1470°F) and oil quenched, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.4,0.0,0.035,0.25,0.0,0.25,0.0,0.225,0.0,0.0,0.0,965,655,15
59,AISI 4140 Steel," oil quenched, 25 mm (1 in.) round (845°C (1550°F) quench, 650°C (1200°F) temper)",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,917,841,21
60,AISI 4140H Steel," oil quenched 845°C (1550°F), 595°C (1100°F) temper, 13 mm (0.5 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,1090,1025,18
61,AISI 4140 Steel," oil quenched, 13 mm (0.5 in.) round [845°C (1550°F) quench, 540°C (1000°F) temper]",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1185,1110,15
62,AISI 4130H Steel," water quenched 855°C (1570°F), 480°C (900°F) temper, 100 mm (4 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,841,655,20
63,AISI 4140 Steel," oil quenched, 540°C (1000°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1140,965,18
64,AISI 4140H Steel," oil quenched 845°C (1550°F), 650°C (1200°F) temper, 100 mm (4 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,772,580,23
65,AISI 4140H Steel," oil quenched 845°C (1550°F), 650°C (1200°F) temper, 50 mm (2 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,841,675,23
66,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 315°C (600°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1725,1572,11
67,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 540°C (1000°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.245,0.0,0.035,0.25,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1150,1050,17
68,AISI 4140H Steel," oil quenched 845°C (1550°F), tempered 540°C (1000°F), 50 mm (2 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,965,800,17
69,AISI 4140H Steel," normalized at 870°C (1600°F), air cooled, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,1020,655,17
70,AISI 4140H Steel," oil quenched, tempered 205°C (400°F), 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,1795,1515,8
71,AISI 4118 Steel," mock carburized at 925°C (1700°F) for 8 hours, reheated to 830°C (1525°F), oil quenched, 150°C (300°F) temper, 230°C (450°F) temper, 100 mm (4 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,617,296,28
72,AISI 4118 Steel," double quenched and tempered, carburized, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,869,440,21
73,AISI 4140H Steel, annealed 815°C,0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,655,420,25
74,AISI 4130H Steel," water quenched 855°C (1570°F), 595°C (1100°F) temper, 13 mm (0.5 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,917,841,20
75,AISI 4140 Steel," oil quenched, 50 mm (2 in.) round (845°C (1550°F) quench, 650°C (1200°F) temper)",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,841,675,23
76,AISI 4130 Steel," normalized at 870°C (1600°F), air cooled, 50 mm (2 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.745,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.30500000000000005,0.0,0.0,0.9500000000000001,615,415,28
77,AISI 4130H Steel," water quenched 855°C (1570°F), 480°C (900°F) temper, 50 mm (2 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,917,758,19
78,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 480°C (900°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.245,0.0,0.035,0.25,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1295,1205,16
79,AISI 4140 Steel," oil quenched, 100 mm (4 in.) round (845°C (1550°F) quench, 595°C (1100°F) temper)",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,807,600,21
80,AISI 4140 Steel," oil quenched, 650°C (1200°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,931,793,22
81,AISI 4140H Steel," heat treated, tempered 480°C (900°F), 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,1295,1205,16
82,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 650°C (1200°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.245,0.0,0.035,0.25,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,896,786,21
83,AISI 4140H Steel," heat treated, tempered 425°C (800°F), 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,1450,1345,15
84,AISI 4118 Steel," mock carburized at 925°C (1700°F) for 8 hours, reheated to 830°C (1525°F), oil quenched, 150°C (300°F) temper, 150°C (300°F) temper, 14 mm (0.55 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,986,645,17
85,AISI 4130H Steel," normalized at 870°C (1600°F), air cooled, 13 mm (0.5 in.) round",0.0,0.0,0.5,0.0,0.0,0.0,0.04,97.7,0.0,0.035,0.25,0.0,0.2,0.0,0.30000000000000004,0.0,0.0,0.975,731,460,25
86,AISI 4140 Steel," normalized at 870°C (1600°F), air cooled, 13 mm (0.5 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1020,675,17
87,AISI 4140 Steel," normalized at 870°C (1600°F), reheated to 845°C (1550°F), oil quenched, 705°C (1300°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.245,0.0,0.035,0.25,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,807,689,23
88,AISI 4140H Steel," oil quenched 845°C (1550°F), 595°C (1100°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,965,931,19
89,AISI 4140H Steel," oil quenched 845°C (1550°F), 595°C (1100°F) temper, 50 mm (2 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,883,710,21
90,AISI 4140H Steel," oil quenched 845°C (1550°F), 650°C (1200°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,917,841,21
91,AISI 4140H Steel," oil quenched 845°C (1550°F), tempered 540°C (1000°F), 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.22,0.0,0.035,0.22499999999999998,0.0,0.22499999999999998,0.0,0.405,0.0,0.0,0.975,1075,986,15
92,AISI 4023 Steel," normalized at 925°C (1700°F), machined to 13.7 mm (0.540 in.) rounds, pseudocarburized at 925°C (1700°F) and oil quenched, 150°C (300°F) temper",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.4,0.0,0.035,0.25,0.0,0.25,0.0,0.225,0.0,0.0,0.0,1050,786,15
93,AISI 4118 Steel," mock carburized at 925°C (1700°F) for 8 hours, reheated to 830°C (1525°F), oil quenched, 150°C (300°F) temper, 150°C (300°F) temper, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.055,0.0,0.035,0.25,0.0,0.11499999999999999,0.0,0.20500000000000002,0.0,0.0,0.5,820,445,21
94,AISI 4150H Steel," normalized at 870°C (1600°F), air cooled, 100 mm (4 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.145,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.505,0.0,0.0,0.975,1005,635,19
95,AISI 4140 Steel," oil quenched, 13 mm (0.5 in.) round (845°C (1550°F) quench, 595°C (1100°F) temper)",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.27,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.405,0.0,0.0,0.9500000000000001,1090,1025,18
96,AISI 4118H Steel," annealed at 870°C (1600°F), furnace cooled at 11°C (20°F)/hour, 25 mm (1 in.) round",0.0,0.0,0.8,0.0,0.0,0.0,0.04,98.085,0.0,0.035,0.22499999999999998,0.0,0.11499999999999999,0.0,0.2,0.0,0.0,0.5,517,365,33
97,AISI 4150H Steel," oil quenched 830°C (1525°F), 540°C (1000°F) temper, 25 mm (1 in.) round",0.0,0.0,0.875,0.0,0.0,0.0,0.04,97.145,0.0,0.035,0.22499999999999998,0.0,0.2,0.0,0.505,0.0,0.0,0.975,1205,1105,14
